Province;Regency/City;Food Security Index;Mean Years of Schooling;Percentage of Poor Population;Percentage of Households with Access to Proper Sanitation;Stunting Prevalence
Papua;Jayapura;64.87;10.32;11.45;74.3;22.5
Papua;Kepulauan Yapen;49.35;9.7;25.89;69.2;33.5
Papua;Biak Numfor;44.82;10.54;23.53;90.6;20.6
Papua;Sarmi;57.28;9.36;13.21;76.5;31.6
Papua;Keerom;46.22;8.57;15.68;78.7;24.4
Papua;Waropen;48.76;9.41;29.16;76.3;22.3
Papua;Supiori;48.51;9.2;36.99;73.9;37.5
Papua;Mamberamo Raya;44.96;6.28;29.63;49.9;33.8
Papua;Kota Jayapura;64.91;11.84;10.5;85.3;24.1
Papua Barat;Fakfak;50.52;9.32;20.86;75.07;21
Papua Barat;Kaimana;63.43;8.97;14.41;80.64;20.2
Papua Barat;Teluk Wondama;44.62;7.38;28.47;61.17;29.2
Papua Barat;Teluk Bintuni;52.88;8.67;26.99;75.77;22.3
Papua Barat;Manokwari;65.99;8.67;18.45;89.13;23.5
Papua Barat;Manokwari Selatan;60.38;7.17;26.83;91.74;26.4
Papua Barat;Pegunungan Arfak;35.03;5.72;31.76;49.9;39.3
Papua Selatan;Merauke;65.08;9.25;10.19;82.05;18.5
Papua Selatan;Boven Digoel;43.44;9.25;19.24;73.45;30.2
Papua Selatan;Mappi;37.16;6.95;25.7;39.08;29.9
Papua Selatan;Asmat;44.17;5.58;24.5;20.32;28.3
Papua Tengah;Mimika;65.9;10.47;14.18;86.27;28.4
Papua Tengah;Dogiyai;36.31;4.97;30.03;17.89;55.8
Papua Tengah;Deiyai;31.94;3.27;39.01;26.48;30.6
Papua Tengah;Nabire;61.43;10.33;24;93.23;21.7
Papua Tengah;Paniai;33.25;4.79;37.07;31.71;29.6
Papua Tengah;Intan Jaya;31.08;3.27;41.42;23.54;48.4
Papua Tengah;Puncak;32.46;2.19;37.49;0;42.5
Papua Tengah;Puncak Jaya;34.01;4.23;35.94;9.64;36.3
Papua Pegunungan;Nduga;30.48;1.71;36.28;5.09;36
Papua Pegunungan;Jayawijaya;38.26;5.98;32.28;33.5;41.3
Papua Pegunungan;Lanny Jaya;38.16;3.71;34.12;3.07;35.4
Papua Pegunungan;Tolikara;30.05;3.68;31.22;2.08;46.4
Papua Pegunungan;Mamberamo Tengah;35.49;3.63;35.27;4.23;42
Papua Pegunungan;Yalimo;44.88;3.34;30.02;31.4;35.1
Papua Pegunungan;Yahukimo;30.95;4.34;33.82;7.36;37.7
Papua Pegunungan;Pegunungan Bintang;34.13;3.37;28.95;12.38;41.4
Papua Barat Daya;Raja Ampat;56.84;8.4;15.83;65.37;37.4
Papua Barat Daya;Sorong;53.21;8.74;25.71;86.48;25.1
Papua Barat Daya;Sorong Selatan;46.32;7.76;17.83;43.19;31.3
Papua Barat Daya;Maybrat;42.79;7.44;29.18;67.29;30.7
Papua Barat Daya;Tambrauw;44.1;5.89;29.88;85.56;37.9
Papua Barat Daya;Kota Sorong;58.97;11.57;13.67;83.69;29.3
